Load new slalib
Run    0, SEQ_FRAG for 19:00:00 2007-11-13 +( 240)m : [darkbias_16h, FS109, Photom_M-A, com17Pmon-071030, 17P-mosaic, PG0231+051, SN2007gr, SN2007le_OptMonitor, M33_cal_chip32, ANGM31, UCM_galaxies_5, 889et, 891jt, 889it, lens_2403, zero_HD12021, M33_cal_chip36, NGC4041, M33_cal_chip23, ] RT =  241m 
Run    0, SEQ_FRAG for 23:03:44 2007-11-13 +( 240)m : [HS2209, UCM_galaxies_7, M33_cal_chip31, i1_2_H00, ESO494-G26, 927ft, gals_to_calib_3, UCM_galaxies_11, NGC2906, ] RT =  259m 
Run    0, SEQ_FRAG for 03:26:27 2007-11-14 +( 240)m : [2200, 0235, lens_M81, 0851, pol_BD59_389, UGC6517, 926gt, group07b01d, 923jt, venus-mon-070919, M31b, 926jt, NGC3672, 893dt, NGC2993, 17P-monitor, SN07kk_IRmonitor, FS14, 5548_opt, 927ct, Photom_G1_1047+003, 725dt, FS21, Photom_G1_RU149, Star_H13, FocusShort_07, ] RT =  239m 
Run:    0, SCORES  0.5812 1.7586 0.3348 0.8965 0.3422 0.0000 1.0284
Run    0, LIST 
:G_427  darkbias_16h  P  T  B  INT(24.0)  2
:G_355  FS109  P  T  B  INT(3.0)  -1
:G_006  Photom_M-A  P  T  B  INT(3.0)  -1
:G_276  com17Pmon-071030  P  T  B  INT(48.0)  1
:G_369  17P-mosaic  A  T  B  FLEX  3
:G_003  PG0231+051  P  T  B  INT(3.0)  -1
:G_007  SN2007gr  P  N  B  INT(48.0)  3
:G_271  SN2007le_OptMonitor  P  N  B  INT(24.0)  3
:G_348  M33_cal_chip32  P  N  B  FLEX  2
:G_476  ANGM31  P  N  B  INT(2.5)  2
:G_461  UCM_galaxies_5  A  N  D  FLEX  1
:G_110  889et  P  N  D  FLEX  1
:G_077  891jt  P  N  D  FLEX  1
:G_022  889it  P  N  D  FLEX  1
:G_371  lens_2403  P  N  B  INT(48.0)  2
:G_385  zero_HD12021  P  N  B  INT(5.0)  -1
:G_337  M33_cal_chip36  P  N  B  FLEX  2
:G_218  NGC4041  P  N  D  FLEX  1
:G_336  M33_cal_chip23  P  N  B  FLEX  2
:G_359  HS2209  P  N  D  INT(72.0)  3
:G_452  UCM_galaxies_7  A  N  D  FLEX  1
